City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,Kilakarai,IN,84.63,few clouds,9.2333,78.7833,Kilakarai Home Stays
524,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
528,Namatanai,PG,81.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
530,Juba,SS,73.2,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
534,Lampang,TH,84.85,scattered clouds,18.3333,99.5,Mrs Luis Guest House
536,Domoni,KM,79.27,light rain,-12.2569,44.5319,Al Djadid
537,Touros,BR,80.44,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
539,Jibuti,DJ,75.61,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
543,Kirakira,SB,83.5,broken clouds,-10.4544,161.9205,SanBiz Lodge
544,Irece,BR,73.08,overcast clouds,-11.3042,-41.8558,Hotel Copa 70
545,Maryborough,AU,73.08,few clouds,-25.5333,152.7,Blue Shades Motel
546,Porto Walter,BR,75.74,broken clouds,-8.2686,-72.7439,Secretaria de saúde
547,Tagusao,PH,80.8,broken clouds,9.1924,117.8141,Green Villa beach resort
549,Santa Cruz,BO,71.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
550,Champerico,GT,86.16,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
552,Buchanan,LR,80.55,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
553,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
554,Basco,PH,76.15,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
560,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
563,Sinnamary,GF,78.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
565,Rockport,US,82.44,haze,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
567,Banda Aceh,ID,79.57,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
577,Corrales,US,81.9,"sand,dust whirls",35.2378,-106.6067,Quality Inn
578,Karhal,IN,82.6,clear sky,27.0003,78.9414,Ganga Bhavan
582,Karwar,IN,78.96,scattered clouds,14.8,74.1333,Netalco Connects
587,Caravelas,BR,77.52,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
589,Palmas,BR,84.07,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
594,Kokopo,PG,82.56,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
601,Pundaguitan,PH,81.0,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
602,Elizabeth City,US,75.22,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
603,Eyl,SO,80.4,scattered clouds,7.9803,49.8164,Amiin Hotel
604,Harper,LR,78.57,light rain,4.375,-7.7169,Screensaver
605,Yelandur,IN,75.6,broken clouds,12.0667,77.0333,Nisarga Home Stay
606,Fairhope,US,80.76,broken clouds,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
610,Mayo,US,75.61,light rain,38.8876,-76.5119,Resorts Resource Group International
613,Ibotirama,BR,73.06,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
616,Biak,ID,78.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
619,Tevaitoa,PF,81.21,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
620,Bachaquero,VE,84.45,broken clouds,9.9694,-71.1494,casa de los dinosaurios
622,Manggar,ID,80.96,broken clouds,-2.8833,108.2667,Guest Hotel
627,Guanica,PR,81.5,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
629,Mocuba,MZ,70.47,light rain,-16.8392,36.9856,Phama Lodge
634,Chinchani,IN,79.09,clear sky,19.8667,72.7,Vasantshrushti Farm
636,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
642,Iramuco,MX,89.71,clear sky,19.95,-100.9167,La Hacienda Centro Cultural y de Entretenimiento
649,Morwa,IN,78.21,clear sky,22.9,73.8333,mahakali maa hotel
650,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
654,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
657,Iquitos,PE,84.24,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
658,Gizo,SB,82.26,light rain,-8.103,156.8419,Imagination Island
659,Itacare,BR,74.82,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
663,Boa Vista,BR,89.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
673,Sokoni,TZ,78.66,light rain,-6.4333,39.55,Ujamaa Beach Resort
676,Marsh Harbour,BS,76.93,clear sky,26.5412,-77.0636,Abaco Beach Resort
677,Teahupoo,PF,80.56,light rain,-17.8333,-149.2667,Vanira Lodge
681,Manakara,MG,72.55,scattered clouds,-22.1333,48.0167,La Residence Manakara
684,Nagaur,IN,81.03,clear sky,27.2,73.7333,Ranvas Nagaur
688,Farmington,US,75.88,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
689,Belmonte,BR,76.6,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
690,Muli,MV,82.99,broken clouds,2.9167,73.5667,Medhufushi Island Resort
691,Baleshwar,IN,77.88,clear sky,21.4942,86.9317,Banjara Hotels Pvt Ltd
