City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,San Patricio,US,2022-04-12 11:37:44,28.017,-97.5169,75.29,94,100,11.77
151,Kodiak,US,2022-04-12 11:37:45,57.79,-152.4072,27.91,74,0,5.75
152,Vestmannaeyjar,IS,2022-04-12 11:37:45,63.4427,-20.2734,41.99,75,20,32.21
153,Cidreira,BR,2022-04-12 11:37:46,-30.1811,-50.2056,69.78,89,100,6.58
154,Urbano Santos,BR,2022-04-12 11:37:46,-3.2078,-43.4036,81.21,80,99,4.23
155,Mustafakemalpasa,TR,2022-04-12 11:37:47,40.0353,28.4117,55.45,46,8,7.45
156,Arman,RU,2022-04-12 11:37:47,59.7,150.1667,8.33,83,12,8.3
157,Madang,PG,2022-04-12 11:37:47,-5.2246,145.7966,79.61,86,41,2.28
158,Krk,HR,2022-04-12 11:37:48,45.0258,14.5731,59.99,64,20,5.79
159,San Vicente,AR,2022-04-12 11:37:48,-26.6167,-54.1333,62.98,99,100,2.55
160,Topeka,US,2022-04-12 11:36:48,39.0483,-95.678,55.18,91,100,16.11
161,Brae,GB,2022-04-12 11:37:49,60.3964,-1.353,42.35,74,100,20.47
162,Port Elizabeth,ZA,2022-04-12 11:37:49,-33.918,25.5701,83.1,71,0,13.8
163,Airai,TL,2022-04-12 11:37:49,-8.9266,125.4092,60.71,93,99,2.75
164,Haines Junction,CA,2022-04-12 11:37:50,60.7522,-137.5108,4.95,72,63,2.3
165,Klaksvik,FO,2022-04-12 11:37:50,62.2266,-6.589,41.92,86,100,27.27
166,Hatillo,PR,2022-04-12 11:37:51,18.4863,-66.8254,77.32,91,24,1.01
167,Ambon,ID,2022-04-12 11:37:51,-3.6954,128.1814,78.94,94,40,2.3
168,Buchanan,LR,2022-04-12 11:37:52,5.8808,-10.0467,85.77,68,89,6.42
169,Pevek,RU,2022-04-12 11:37:52,69.7008,170.3133,-19.37,93,25,3.51
170,Kruisfontein,ZA,2022-04-12 11:37:53,-34.0033,24.7314,80.89,45,39,10.89
171,Waitati,NZ,2022-04-12 11:37:53,-45.75,170.5667,50.81,68,4,4.79
172,Lorengau,PG,2022-04-12 11:37:54,-2.0226,147.2712,82.11,75,6,7.83
173,Tres Coracoes,BR,2022-04-12 11:37:54,-21.6969,-45.2533,70.72,82,88,2.68
174,Kulhudhuffushi,MV,2022-04-12 11:37:55,6.6221,73.07,84.13,74,25,12.08
175,North Bend,US,2022-04-12 11:37:55,43.4065,-124.2243,42.71,90,75,14.97
176,Mitsamiouli,KM,2022-04-12 11:37:55,-11.3847,43.2844,88.09,62,40,6.91
177,Lebu,CL,2022-04-12 11:37:56,-37.6167,-73.65,52.12,87,88,12.5
178,Pasaco,GT,2022-04-12 11:37:56,13.9772,-90.2064,78.84,75,73,3.22
179,Yellowknife,CA,2022-04-12 11:37:24,62.456,-114.3525,-7.08,77,20,8.05
180,Kennett,US,2022-04-12 11:37:57,36.2362,-90.0556,68.0,100,100,4.61
181,Dikson,RU,2022-04-12 11:37:57,73.5069,80.5464,25.05,92,100,14.14
182,Vanavara,RU,2022-04-12 11:37:58,60.34,102.2797,26.71,83,46,2.26
183,Hammerfest,NO,2022-04-12 11:37:58,70.6634,23.6821,32.45,64,75,0.0
184,Fairbanks,US,2022-04-12 11:38:59,64.8378,-147.7164,30.54,56,0,9.22
185,Stromness,GB,2022-04-12 11:38:59,58.965,-3.296,44.87,85,98,25.01
186,Chokurdakh,RU,2022-04-12 11:39:00,70.6333,147.9167,1.45,98,100,4.59
187,Hasaki,JP,2022-04-12 11:39:00,35.7333,140.8333,63.28,85,9,13.31
188,Cockburn Town,TC,2022-04-12 11:35:02,21.4612,-71.1419,76.73,79,46,25.17
189,Ola,RU,2022-04-12 11:39:01,59.5833,151.2833,11.97,77,10,10.4
190,Dzhebariki-Khaya,RU,2022-04-12 11:39:01,62.2167,135.8,10.29,97,94,1.99
191,Hilo,US,2022-04-12 11:39:02,19.7297,-155.09,75.27,96,100,8.05
192,Wladyslawowo,PL,2022-04-12 11:39:02,54.7909,18.4009,53.94,57,4,7.61
193,Morros,BR,2022-04-12 11:39:03,-9.4467,-46.3003,81.28,66,5,4.59
194,Cassilandia,BR,2022-04-12 11:39:03,-19.1133,-51.7342,79.07,70,0,4.9
195,Viedma,AR,2022-04-12 11:39:04,-40.8135,-62.9967,54.19,70,19,13.02
196,Vardo,NO,2022-04-12 11:39:05,70.3705,31.1107,31.98,86,40,31.07
197,Acapulco,MX,2022-04-12 11:37:52,16.8634,-99.8901,73.22,94,40,0.0
198,Pouembout,NC,2022-04-12 11:39:06,-21.1333,164.9,72.75,86,35,3.87
199,Yurkivka,UA,2022-04-12 11:39:07,49.0126,31.1013,49.19,46,100,20.8
200,Fortuna,US,2022-04-12 11:39:07,40.5982,-124.1573,39.97,94,75,1.99
201,Astorga,BR,2022-04-12 11:36:55,-23.2325,-51.6656,66.43,88,10,10.04
202,Areosa,PT,2022-04-12 11:39:08,41.7178,-8.8571,56.46,82,88,8.66
203,Kiunga,PG,2022-04-12 11:39:09,-6.1219,141.2906,75.96,97,81,2.15
204,Tutoia,BR,2022-04-12 11:39:09,-2.7619,-42.2744,81.64,76,81,8.37
205,Dhamtari,IN,2022-04-12 11:39:10,20.7072,81.5497,100.44,17,89,8.48
206,Nanortalik,GL,2022-04-12 11:39:10,60.1432,-45.2371,33.8,62,100,6.46
207,Liwale,TZ,2022-04-12 11:39:10,-9.7667,37.9333,78.98,80,40,7.34
208,Madison Heights,US,2022-04-12 11:35:36,42.4859,-83.1052,42.22,78,0,0.0
209,Meridian,US,2022-04-12 11:39:11,43.6121,-116.3915,35.38,80,100,12.66
210,Gushikawa,JP,2022-04-12 11:39:12,26.3544,127.8686,74.43,88,20,10.36
211,Banda Aceh,ID,2022-04-12 11:39:12,5.5577,95.3222,82.2,77,60,6.8
212,Nikolskoye,RU,2022-04-12 11:39:12,59.7035,30.7861,47.91,67,100,6.31
213,Wajima,JP,2022-04-12 11:39:13,37.4,136.9,59.34,77,11,4.9
214,Mukhen,RU,2022-04-12 11:39:13,48.1,136.1,30.69,93,93,1.95
215,Ugoofaaru,MV,2022-04-12 11:39:14,5.6667,73.0,84.7,73,26,13.18
216,Sabalgarh,IN,2022-04-12 11:39:14,26.25,77.4,105.31,10,100,9.66
217,Ust-Ordynskiy,RU,2022-04-12 11:39:15,52.805,104.7508,28.47,66,94,4.41
218,Sola,VU,2022-04-12 11:39:15,-13.8833,167.55,82.17,68,13,7.23
219,Sao Joao Da Barra,BR,2022-04-12 11:39:16,-21.6403,-41.0511,77.09,80,53,7.54
220,Gat,IL,2022-04-12 11:38:02,31.61,34.7642,66.4,25,32,14.18
221,Ahipara,NZ,2022-04-12 11:39:16,-35.1667,173.1667,61.61,84,100,15.12
222,Kita,ML,2022-04-12 11:39:16,13.0349,-9.4895,94.46,23,94,6.51
223,Constitucion,CL,2022-04-12 11:39:17,-35.3333,-72.4167,51.87,62,44,6.29
224,Birjand,IR,2022-04-12 11:39:17,32.8663,59.2211,81.07,6,20,20.71
225,Mafra,BR,2022-04-12 11:39:18,-26.1114,-49.8053,64.44,99,100,1.16
226,Labuhan,ID,2022-04-12 11:39:18,-6.8844,112.2051,81.36,73,57,4.81
227,Raha,IN,2022-04-12 11:39:19,26.2333,92.5167,86.45,51,3,3.13
228,Pinotepa Nacional,MX,2022-04-12 11:39:19,16.3167,-98.0167,73.24,75,100,1.77
229,Shakiso,ET,2022-04-12 11:39:20,5.75,38.9167,76.05,43,85,2.95
230,Mar Del Plata,AR,2022-04-12 11:36:23,-38.0023,-57.5575,55.09,83,0,8.05
231,Kashira,RU,2022-04-12 11:39:21,54.8444,38.1669,62.29,60,99,11.7
232,Innisfail,AU,2022-04-12 11:39:21,-17.5333,146.0333,77.14,80,100,7.54
233,Chicama,PE,2022-04-12 11:40:22,-7.8447,-79.1469,63.14,88,96,4.81
234,Isabela,PH,2022-04-12 11:40:22,6.7085,121.9711,79.16,84,46,12.12
235,Tadine,NC,2022-04-12 11:40:23,-21.55,167.8833,75.81,79,23,11.52
236,Newport,GB,2022-04-12 11:40:23,51.5877,-2.9984,58.62,86,100,1.99
237,Kurilsk,RU,2022-04-12 11:40:24,45.2333,147.8833,39.56,93,100,6.13
238,Muisne,EC,2022-04-12 11:40:24,0.6,-80.0333,76.26,90,99,8.61
239,Sitka,US,2022-04-12 11:40:17,57.0531,-135.33,33.69,32,0,9.22
240,Severo-Kurilsk,RU,2022-04-12 11:40:25,50.6789,156.125,25.52,82,58,5.19
241,Katsuura,JP,2022-04-12 11:40:25,35.1333,140.3,61.81,92,1,11.68
242,Manavalakurichi,IN,2022-04-12 11:40:25,8.1333,77.3,84.25,71,100,4.83
243,Nadym,RU,2022-04-12 11:40:26,65.5333,72.5167,35.44,100,100,13.18
244,Ambovombe,MG,2022-04-12 11:40:26,-25.1667,46.0833,79.02,68,100,21.61
245,Magadan,RU,2022-04-12 11:40:27,59.5667,150.8,8.8,83,13,7.29
246,Carnarvon,AU,2022-04-12 11:40:27,-24.8667,113.6333,71.67,53,0,16.11
247,Olinda,BR,2022-04-12 11:36:04,-8.0089,-34.8553,82.13,74,20,3.44
248,Quelimane,MZ,2022-04-12 11:40:28,-17.8786,36.8883,85.95,74,75,3.44
249,Iqaluit,CA,2022-04-12 11:40:28,63.7506,-68.5145,2.93,84,75,4.61
250,Cairns,AU,2022-04-12 11:40:29,-16.9167,145.7667,78.75,88,75,9.22
251,Tuatapere,NZ,2022-04-12 11:40:29,-46.1333,167.6833,50.92,75,78,9.82
252,Boende,CD,2022-04-12 11:40:30,-0.2167,20.8667,95.41,35,59,3.47
253,Pancol,PH,2022-04-12 11:40:30,10.8715,119.4157,75.81,86,100,7.11
254,Hay River,CA,2022-04-12 11:40:31,60.8156,-115.7999,-0.42,78,20,4.61
255,Arraial Do Cabo,BR,2022-04-12 11:40:31,-22.9661,-42.0278,78.66,83,20,12.66
256,Santa Isabel,BR,2022-04-12 11:40:31,-23.3156,-46.2214,70.9,71,61,2.48
257,Kiwira,TZ,2022-04-12 11:40:32,-9.1667,33.5333,71.19,86,57,4.76
258,Amga,RU,2022-04-12 11:40:32,60.8953,131.9608,14.86,96,99,2.48
259,Moose Factory,CA,2022-04-12 11:40:33,51.2585,-80.6094,39.2,81,100,18.41
260,Ewa Beach,US,2022-04-12 11:37:38,21.3156,-158.0072,76.95,78,20,10.36
261,Pisco,PE,2022-04-12 11:40:33,-13.7,-76.2167,62.02,88,0,2.3
262,Havelock,US,2022-04-12 11:40:34,34.8791,-76.9013,64.94,89,81,3.0
263,Husavik,IS,2022-04-12 11:40:34,66.0449,-17.3389,33.42,78,57,8.16
264,Canutama,BR,2022-04-12 11:40:34,-6.5339,-64.3831,76.12,92,96,1.77
265,Kokopo,PG,2022-04-12 11:40:35,-4.352,152.2633,77.81,81,48,4.32
266,Marawi,PH,2022-04-12 11:40:35,7.9986,124.2928,68.27,92,91,4.79
267,Vilhena,BR,2022-04-12 11:40:36,-12.7406,-60.1458,71.82,100,20,4.61
268,Jiuquan,CN,2022-04-12 11:40:36,39.7432,98.5174,51.04,14,52,9.44
269,Talnakh,RU,2022-04-12 11:40:37,69.4865,88.3972,24.21,95,100,14.45
270,Haikou,CN,2022-04-12 11:40:37,20.0458,110.3417,78.93,78,75,6.71
271,Mayo,US,2022-04-12 11:40:37,38.8876,-76.5119,54.18,87,100,1.01
272,Palmer,US,2022-04-12 11:40:38,42.1584,-72.3287,51.39,67,100,5.75
273,Alta Floresta,BR,2022-04-12 11:40:38,-9.8756,-56.0861,76.71,88,25,1.39
274,Liepaja,LV,2022-04-12 11:40:39,56.5419,21.0367,44.58,76,0,11.5
275,Zaragoza,ES,2022-04-12 11:39:00,41.6561,-0.8773,62.02,78,75,10.36
